         328 function calls in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1309(_clear_cache)
        5    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1373(info)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:842(createLock)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:122(splitdrive)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:429(usesTime)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:523(abspath)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:590(formatMessage)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:187(_checkLevel)
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        5    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:667(_format_parsed_parts)
        9    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:513(__init__)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:432(format)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1531(addHandler)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\threading.py:75(RLock)
        9    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       15    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        4    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:849(acquire)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:117(getLevelName)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:154(<lambda>)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:747(filter)
       17    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:856(release)
        1    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\threading.py:1206(current_thread)
        2    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:1001(_init)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:727(__init__)
